fishid,group,score
a13-1l,sneaker,2159.333333
a13-1r,guarder,2466.333333
a13-2l,sneaker,2407
a14-1r,guarder,2151.666667
a15-2l,guarder,2026.666667
a15-2r,sneaker,2157.333333
a16-2r,sneaker,2058.666667
b14-2l,guarder,2649
b15-1l,guarder,2708
b15-2r,sneaker,2723
b16-1r,guarder,2761
b16-2l,sneaker,2798
c13-1l,sneaker,2775.666667
c14-1l,guarder,2600.666667
c15-1r,sneaker,3133.333333
c15-2l,guarder,2688
c16-1l,guarder,2632.333333
c16-1r,sneaker,3095.666667
d13-1r,guarder,2659.333333
c16-2r,sneaker,3320.333333
